x,y,z,name
35.3,42.7,1557812.5,Accommodation and food service activities
18.2,44.6,1431996.75,Administrative and support service activities
20.1,46,1785133.75,"Arts, entertainment and recreation"
7.8,58.7,2142423.5,Construction
14.6,52.6,3426590.75,Education
6.2,64.2,599269.75,"Electricity, gas, steam and air conditioning supply"
3.7,67.8,1424122.25,Financial and insurance activities
13.4,55.7,4498645.25,Human health and social work activities
5.1,64.7,1581115,Information and communication
9.7,50.5,2725924.5,Manufacturing
5.6,60.8,599269.75,Mining and quarrying
16,46.7,1785133.75,Other service activities
6.1,63.4,2677678.5,"Professional, scientific and technical activities"
4.5,61,2389726,Public administration and defence; compulsory social security
5.6,54.2,414173.25,Real estate activities
11.6,49.6,1519744,Transportation and storage
7.6,61.9,599269.75,"Water supply, sewerage, waste management and remediation activities"
14.2,48.1,3801044.75,Wholesale inc. motor
