Ethnicity,LCL ,UCL
Mixed or Multiple ethnic groups: White and Black Caribbean,7.2,28.5
Asian or Asian British: Bangladeshi,8.6,25.5
Asian or Asian British: Pakistani,5.8,20.3
"Black, African, Caribbean or Black British: Other Black",-1.6,26
Asian or Asian British: Other Asian,0.5,14.4
"Black, African, Caribbean or Black British: African",2.5,11.8
Mixed or Multiple ethnic groups: White and Black African,-29.1,25.3
"Black, African, Caribbean or Black British: Caribbean",-9.3,11.5
White: Other White,-4.4,3.2
Other ethnic group: Any other ethnic group,-12.9,4.2
Other ethnic group: Arab,-34.7,19.2
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-37.8,5.1
Mixed or Multiple ethnic groups: White and Asian,-29.4,-6.5
Asian or Asian British: Indian,-28.1,-12.3
Asian or Asian British: Chinese,-40.2,-7.8
White: Irish,-57.1,-24.9
