Regions,UK,Nation: England,Nation: Wales,Nation: Scotland,Nation: Northern Ireland,Nation: England,Region: North East,Region: North West,Region: Yorkshire and the Humber,Region: East Midlands,Region: West Midlands,Region: East of England,Region: London,Region: South East,Region: South West
1995,32.4,30.8,44.3,39,42.2,30.8,43.1,38.9,34.3,31.6,32.9,25.4,29.8,23.2,27.6
1996,31.4,30.1,40.9,36,42.3,30.1,43.7,37.9,36.1,33,32.1,24.1,26.1,22.6,27.1
1997,30.7,28.9,41.8,36.1,,28.9,40.5,37.1,33.6,30,31.1,23.3,25.7,21.9,27.1
1998,29.9,28.4,41.2,35.1,41.3,28.4,40.2,35.5,33.4,28.9,31.4,22.8,24.4,22.4,27.6
1999,29.7,28.3,39.3,35.4,37.8,28.3,39.8,34.4,33.8,29.8,29.5,23.9,25.7,22.1,26
2000,29.8,28.4,39.8,34.8,38.4,28.4,40.2,35.9,32.8,30.6,29.7,23.7,23.8,22.7,26.7
2001,29.3,27.8,39,35.3,40.8,27.8,40.6,34.2,31.7,28.3,29.9,23,24.2,22.7,26
2002,28.8,27.3,39.7,34.1,41.7,27.3,38.7,33.5,32,27.2,30.1,22.4,24.2,21.5,25.9
2003,29.3,28.1,37.3,34.4,39.5,28.1,37.4,33.8,32.9,28.4,29.8,24.4,25.3,21.6,27.3
2004,28.8,27.6,37.3,33,39.5,27.6,36.9,34.9,30,26.9,28.3,24.8,24.9,22.7,25.4
2005,28.6,27.4,34.3,34,40.8,27.4,36.5,32.9,30.7,28.8,29.6,23.7,24.3,21.7,26.6
2006,28.3,26.9,35.9,34.4,39.7,26.9,38.8,34.2,28.5,26.8,28.3,23.3,24.7,21.4,24.8
2007,28,26.6,37.4,32.6,39.8,26.6,35.9,34.2,30.2,26.9,28,22.4,24.1,21,24.8
2008,27.5,26.1,37.4,32.9,35.8,26.1,35.5,32.3,29.8,27,26.5,22,23.6,21.6,25
2009,27.4,26.2,35.4,31.8,39.9,26.2,35.7,32.2,29.1,26.5,28.2,22.9,21.4,21.9,26.1
2010,26.6,25.3,34.7,32.3,35.8,25.3,32.8,31.6,28.4,26.3,27.2,22.7,21.3,21.3,23.5
2011,26,24.9,34.9,29.7,33.9,24.9,34.5,30.4,27.2,25.4,26.6,22.4,20.6,20.7,24.8
2012,26.1,24.8,33,31.6,36.4,24.8,32.7,30.4,27.7,25.1,25.8,21.9,21.5,21,24.2
2013,25.6,24.1,35.6,31.9,35.5,24.1,30.9,30.2,27.7,26.2,24.4,21.9,20.9,20.3,22
2014,25,23.5,35.9,30.4,35.2,23.5,32.1,29.1,29.3,22.4,24.4,20.5,19.9,19.3,22.7
2015,24.7,23,35.2,32,34.3,23,30.1,27.9,27.2,23.1,25.2,20,18.2,20.8,22.2
2016,23.5,22.1,35.5,29.3,29.1,22.1,27.3,28.6,25.6,22.3,23.5,18.6,18.3,18.4,22.3
2017,23.3,22.1,30,28,34.2,22.1,28.5,29.3,27.8,19.7,22.6,19.1,17.7,19.1,21.1
2018,23.4,22.1,30.5,28.2,35.2,22.1,28.9,28.2,27.2,22.3,21.8,19.5,18.2,18.2,22.2
2019,23.5,22.2,31.1,29.3,33.6,22.2,29.4,28,24.6,23.2,23.8,20.9,17.7,18.6,22
2020,23.7,22.4,31.9,29.1,33.4,22.4,29.9,28.1,26.3,23.7,22.8,19.1,18.7,19.4,21.8
2021,23.1,21.6,35.6,28.4,30.6,21.6,28.6,26.2,26.1,22.9,23.3,20,17.6,17.4,21.8
2022,22.3,21,31.4,26.3,32.3,21,26.4,25.6,26.1,20.3,21.1,19.1,17.3,18.5,21.4
