Main industry,Good employee involvement (%)
Accommodation and food service activities,53.5
Administrative and support service activities,52.9
"Arts, entertainment and recreation",53.4
Construction,57.6
Education,53.9
"Electricity, gas, steam and air conditioning supply",55.2
Financial and insurance activities,63.6
Human health and social work activities,51.3
Information and communication,61.6
Manufacturing,51.2
Mining and quarrying,44.8
Other service activities,58.5
"Professional, scientific and technical activities",57.7
Public administration and defence; compulsory social security,52.1
Real estate activities,60.7
Transportation and storage,43.6
"Water supply, sewerage, waste management and remediation activities",52.2
Wholesale inc. motor,54.2
